role,name,team,mantra_role,quote,fvm,status,starter_probability,data_quality,appearances_previous,average_rating_previous,fantasy_average_previous,goals_previous,assists_previous,xg_previous,xa_previous,penalties_scored,penalties_taken,yellow_cards,red_cards,goals_conceded,penalties_saved,goals_prevented,expected_appearances,expected_goals,expected_assists,expected_fantasy_average,reliability,bonus,potential,risk,value,fantasy_score,tier,profile
P,Suzuki,PAR,Por,7,20,Riserva/rotazione,0.2,Storico Serie A,20,6.05,4.78,0,0,,,0,0,1,0,28,1,-1.4,7,0,0,4.78,28,24,21,73,19,16,Cautela,Profilo rischioso
P,Perin,JUV,Por,6,10,Riserva/rotazione,0.2,Storico Serie A,9,6.06,5.06,0,0,,,0,0,0,0,9,0,,7,0,0,5.06,21,21,31,79,21,15,Cautela,Profilo rischioso
P,Stankovic F.,VEN,Por,6,14,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0,0,5.8,86,52,32,29,55,54,Buono,Titolare affidabile
P,Milinkovic-Savic V.,NAP,Por,5,10,Riserva/rotazione,0.2,Storico Serie A,27,6.17,5.61,0,0,,,0,0,0,0,24,3,0.6,7,0,0,5.61,33,28,35,67,35,25,Cautela,Profilo rischioso
P,Thiam,MON,Por,5,12,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0,0,5.79,86,51,31,29,65,56,Ottimo,Titolare affidabile
P,Palmisani,FRO,Por,4,8,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0,0,5.78,86,50,30,29,80,58,Ottimo,Occasione di valore
P,Desplanches,FRO,Por,2,8,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.78,34,27,30,81,86,33,Cautela,Profilo rischioso
P,Provedel,INT,Por,2,5,Riserva/rotazione,0.2,Storico Serie A,27,6.28,5.37,0,0,,,0,0,1,0,27,1,5.9,7,0,0,5.37,33,37,56,67,100,46,Buono,Profilo rischioso
P,Christensen O.,FIO,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,1,7.5,6.5,0,0,,,0,0,0,0,1,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Ciocci,CAG,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Contini,NAP,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Corvi,PAR,Por,1,1,Titolare,0.9,Storico Serie A,17,6.24,5.15,0,0,,,0,0,1,0,18,0,,31,0,0,5.15,79,45,28,22,100,59,Ottimo,Occasione di valore
P,De Marzi,ROM,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Di Gennaro,INT,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,1,6,5,0,0,,,0,0,0,0,1,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Fruchtl,LEC,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Gollini,ROM,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Grandi,VEN,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Happonen,BOL,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Lezzerini,FIO,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Lolic,FRO,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Mascardi,TOR,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Motta,LAZ,Por,1,1,Riserva/rotazione,0.2,Storico Serie A,9,6,5.17,0,0,,,0,0,1,0,10,1,,7,0,0,5.17,21,19,28,80,100,30,Cautela,Profilo rischioso
P,Padelli,UDI,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,2,6.25,5.25,0,0,,,0,0,0,0,2,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Paleari,TOR,Por,1,1,Titolare,0.9,Storico Serie A,29,6.12,4.55,0,0,,,0,0,1,0,45,0,-0.5,33,0,0,4.55,87,48,25,13,100,62,Ottimo,Occasione di valore
P,Pessina Mas.,BOL,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,4,6.12,5.62,0,0,,,0,0,0,0,2,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Piana,UDI,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Pinsoglio,JUV,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Pizzignacco,MON,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Pozzi,VEN,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Renzetti,LAZ,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Rossi F.,ATA,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Russo A.,SAS,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Samooja,LEC,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Sherri,CAG,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Siviero,TOR,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Sommariva,GEN,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,2,5.75,3.75,0,0,,,0,0,0,0,4,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Sportiello,ATA,Por,1,1,Riserva/rotazione,0.2,Campione ridotto,1,5.5,4.5,0,0,,,0,0,0,0,1,0,,8,0,0,5.75,34,25,28,73,100,36,Scommessa,Profilo rischioso
P,Stolz,GEN,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Strajnar,MON,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Terracciano,MIL,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Tornqvist,COM,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Torriani,MIL,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
P,Turati,SAS,Por,1,3,Riserva/rotazione,0.2,Campione ridotto,6,6.25,5.08,0,0,,,0,0,0,0,7,0,,7,0,0,5.08,19,19,29,88,100,28,Cautela,Profilo rischioso
P,Vigorito,COM,Por,1,1,Riserva/rotazione,0.2,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,8,0,0,5.75,34,25,28,81,100,35,Scommessa,Profilo rischioso
D,Dimarco,INT,E;W,32,265,Titolare,0.9,Storico Serie A,35,6.64,7.69,7,17,5.2,11.3,0,0,3,0,0,0,,34,5.8,12,7.46,91,100,91,10,23,80,Elite,Priorità d'asta
D,Wesley,ROM,E,17,90,Titolare,0.9,Storico Serie A,30,6.17,6.52,5,0,1.6,3.7,0,0,5,2,0,0,,33,3.3,2.4,6.39,87,44,46,17,27,50,Buono,Titolare affidabile
D,Akanji,INT,Dc,16,55,Titolare,0.9,Storico Serie A,32,6.27,6.39,2,0,2,1.4,0,0,4,0,0,0,,33,2.1,0.9,6.43,89,26,30,13,24,41,Scommessa,Titolare affidabile
D,Bremer,JUV,Dc,15,50,Titolare,0.9,Storico Serie A,26,6.29,6.77,4,3,2.8,1.2,0,0,5,0,0,0,,33,4.2,2.4,6.65,85,54,45,17,33,54,Buono,Titolare affidabile
D,Mancini,ROM,Dc,15,49,Titolare,0.9,Storico Serie A,36,6.31,6.57,4,2,2.5,1.5,0,0,9,0,0,0,,34,2.9,1.6,6.49,91,37,35,12,29,47,Buono,Titolare affidabile
D,Bastoni,INT,Dc,14,44,Titolare,0.9,Storico Serie A,28,6.16,6.3,1,4,1.4,3,0,0,6,0,0,0,,33,1.5,4,6.31,86,30,39,17,28,44,Scommessa,Titolare affidabile
D,Pavlovic,MIL,Dc,14,48,Titolare,0.9,Storico Serie A,34,6.28,6.66,5,0,3.5,1.2,0,0,4,0,0,0,,34,4.1,0.7,6.6,90,46,36,11,33,51,Buono,Titolare affidabile
D,Rrahmani,NAP,Dc,14,47,Titolare,0.9,Storico Serie A,21,6.26,6.48,2,0,1.4,0.4,0,0,3,0,0,0,,32,2.3,0.5,6.42,81,26,29,21,26,38,Scommessa,Titolare affidabile
D,Kalulu,JUV,Dd;Dc,13,46,Titolare in ballottaggio,0.72,Storico Serie A,37,6.2,6.42,2,4,1.7,,0,0,2,1,0,0,,27,1.3,2.9,6.4,78,24,38,23,27,39,Scommessa,Rotazione/copertura
D,N'Dicka,ROM,Dc,13,44,Titolare,0.9,Storico Serie A,31,6.15,6.39,3,1,2,,0,0,5,0,0,0,,33,2.6,1.1,6.34,88,32,32,14,30,44,Scommessa,Titolare affidabile
D,Solet,UDI,Dc,13,46,Titolare,0.9,Storico Serie A,35,6.26,6.47,3,1,2.8,2.4,1,1,1,0,0,0,,34,2.9,1.8,6.55,91,38,37,9,34,49,Buono,Titolare affidabile
D,Di Lorenzo,NAP,Dd;E,12,40,Titolare,0.9,Storico Serie A,26,6.02,6.27,2,1,2,2.8,0,0,1,0,0,0,,33,2.5,2.6,6.31,85,36,37,15,34,47,Buono,Titolare affidabile
D,Gila,MIL,Dc,12,31,Titolare,0.9,Storico Serie A,31,5.95,5.87,0,0,1.4,0.6,0,0,3,1,0,0,,33,0.9,0.4,5.96,88,11,20,14,25,33,Cautela,Titolare affidabile
D,Stones,INT,Dc,12,38,Titolare in ballottaggio,0.72,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,27,0.7,1,6.02,73,11,24,42,23,27,Cautela,Scommessa nuova
D,Bisseck,INT,Dc,11,33,Alternativa in ballottaggio,0.48,Storico Serie A,23,6.2,6.63,3,2,,1.1,0,0,2,0,0,0,,17,2.1,1.1,6.59,51,26,41,50,28,31,Cautela,Profilo rischioso
D,Ostigard,GEN,Dc,11,40,Titolare,0.9,Storico Serie A,30,6.13,6.52,5,0,3.4,0.8,0,0,7,0,0,0,,33,4.6,0.5,6.45,87,51,39,16,43,54,Buono,Titolare affidabile
D,Dodò,FIO,Dd;E,10,30,Alternativa in ballottaggio,0.48,Storico Serie A,36,6.07,6.11,1,2,2.2,5,0,0,7,0,0,0,,18,0.9,1.9,6.23,60,16,36,42,28,29,Cautela,Rotazione/copertura
D,Hermoso,ROM,Dc,10,26,Titolare in ballottaggio,0.72,Storico Serie A,27,6.17,6.41,3,2,1.8,0.8,0,0,9,0,0,0,,26,2.2,1.2,6.3,72,28,32,32,34,38,Scommessa,Rotazione/copertura
D,Ramon,COM,Dc,10,32,Titolare,0.9,Storico Serie A,32,6.16,6.14,2,0,4.6,1.5,0,0,11,1,0,0,,33,3.7,0.9,6.32,89,43,34,16,44,51,Buono,Titolare affidabile
D,Scalvini,ATA,Dc,10,28,Titolare,0.9,Storico Serie A,24,6.04,6.42,3,1,2.6,1.6,0,0,2,0,0,0,,32,3.6,1.8,6.39,83,45,37,18,43,51,Buono,Titolare affidabile
D,Cambiaso,JUV,Dd;Ds;E,9,27,Titolare,0.9,Storico Serie A,36,5.79,5.97,3,4,2.9,5.5,0,0,3,1,0,0,,34,2.8,4.6,6.1,91,46,44,11,51,57,Ottimo,Titolare affidabile
D,Vasquez,GEN,Ds;Dc,9,33,Titolare,0.9,Storico Serie A,36,6.11,6.17,1,0,,0.7,0,0,2,0,0,0,,34,0.9,0.4,6.17,91,11,20,10,35,37,Scommessa,Titolare affidabile
D,Bartesaghi,MIL,Ds;E,8,25,Titolare,0.9,Storico Serie A,31,6,6.08,2,0,1.1,4.1,0,0,3,0,0,0,,33,1.6,2.6,6.18,88,26,31,13,46,45,Buono,Titolare affidabile
D,Celik,JUV,B;Dd;E,8,21,Alternativa in ballottaggio,0.48,Storico Serie A,32,6.08,6.17,1,2,1.5,2,0,0,2,1,0,0,,18,0.7,1.1,6.2,57,11,27,45,30,25,Cautela,Profilo rischioso
D,Delprato,PAR,B;Dd;E,8,21,Titolare,0.9,Storico Serie A,35,6.01,6.11,2,0,2.1,0.9,0,0,5,0,0,0,,34,2,0.5,6.13,91,23,23,11,44,43,Scommessa,Titolare affidabile
D,Dragusin,FIO,Dc,8,27,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0.6,0.7,5.96,86,9,19,29,36,33,Cautela,Titolare affidabile
D,Gutierrez,NAP,Ds;E,8,26,Riserva/rotazione,0.2,Storico Serie A,22,5.89,6.07,1,1,0.8,1.3,0,0,0,0,0,0,,7,0.3,0.4,6.08,29,5,27,71,19,11,Cautela,Profilo rischioso
D,Hien,ATA,Dc,8,16,Alternativa in ballottaggio,0.48,Storico Serie A,28,6.02,5.96,1,0,0.8,0.3,0,0,5,0,0,0,,18,0.6,0.1,6.04,54,7,18,48,25,20,Cautela,Profilo rischioso
D,Jimenez A.,FIO,Dd;Ds;E,8,23,Titolare in ballottaggio,0.72,Campione ridotto,1,5.5,5,0,0,,0.1,0,0,1,0,0,0,,27,0.5,0.6,5.96,73,8,19,34,31,28,Cautela,Rotazione/copertura
D,Koulierakis,ROM,Dc,8,20,Alternativa in ballottaggio,0.48,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,18,0.4,0.5,5.97,55,6,20,60,25,19,Cautela,Profilo rischioso
D,Lucumì,BOL,Dc,8,18,Riserva/rotazione,0.2,Storico Serie A,28,5.91,5.93,1,0,1,0.4,0,0,5,0,0,0,,7,0.3,0.1,5.96,33,4,20,69,18,10,Cautela,Profilo rischioso
D,Mina,CAG,Dc,8,20,Titolare,0.9,Storico Serie A,26,6.02,6.19,2,1,1.6,0.6,0,0,3,1,0,0,,33,2.2,1,6.15,85,27,26,17,45,43,Scommessa,Titolare affidabile
D,Miranda J.,BOL,Ds;E,8,24,Titolare,0.9,Storico Serie A,31,5.94,6.03,1,3,0.6,4.1,0,0,6,0,0,0,,33,0.8,3.9,6.03,88,23,33,14,45,44,Scommessa,Titolare affidabile
D,Norton-Cuffy,GEN,Dd;E,8,22,Titolare,0.9,Storico Serie A,27,5.94,6.11,2,1,,,0,0,3,1,0,0,,33,2.4,1.2,6.1,85,30,28,17,46,45,Buono,Titolare affidabile
D,Spinazzola,NAP,Ds;E,8,24,Titolare in ballottaggio,0.72,Storico Serie A,30,6.1,6.48,3,3,1.2,3.4,0,0,1,0,0,0,,26,1.7,2.8,6.39,74,28,38,26,45,42,Scommessa,Rotazione/copertura
D,Valeri,PAR,Ds;E,8,24,Titolare in ballottaggio,0.72,Storico Serie A,34,6.1,6.13,0,2,0.7,4.2,0,0,2,0,0,0,,27,0.3,2.6,6.2,76,13,28,25,37,34,Cautela,Rotazione/copertura
D,Vojvoda,UDI,Dd;E,8,19,Titolare,0.9,Storico Serie A,27,5.94,6.17,2,1,1.4,2.7,0,0,2,0,0,0,,33,2,2.5,6.16,85,30,32,16,47,46,Buono,Titolare affidabile
D,Zappacosta,ATA,Dd;E,8,24,Titolare in ballottaggio,0.72,Storico Serie A,35,6.03,6.27,3,1,2.3,5,0,0,3,0,0,0,,27,2,2.6,6.31,77,31,37,24,47,45,Buono,Rotazione/copertura
D,Buongiorno,NAP,Dc,7,18,Alternativa in ballottaggio,0.48,Storico Serie A,32,5.84,5.83,0,1,1.4,0.8,0,0,3,0,0,0,,18,0.5,0.5,5.9,57,7,20,44,30,22,Cautela,Rotazione/copertura
D,Carlos Augusto,INT,B;Ds;E,7,27,Riserva/rotazione,0.2,Storico Serie A,28,6.05,6.09,1,1,1.5,1.5,0,0,6,0,0,0,,7,0.3,0.3,6.11,33,4,26,70,23,12,Cautela,Profilo rischioso
D,Coco,TOR,Dc,7,18,Alternativa in ballottaggio,0.48,Storico Serie A,35,5.89,5.96,1,1,0.9,0.9,0,0,3,0,0,0,,18,0.5,0.5,5.96,59,7,20,42,31,23,Cautela,Rotazione/copertura
D,Djimsiti,ATA,Dc,7,16,Riserva/rotazione,0.2,Storico Serie A,33,5.89,5.83,0,0,1.6,0.7,0,0,4,0,0,0,,7,0.2,0.1,5.93,37,3,18,64,21,12,Cautela,Profilo rischioso
D,Doekhi,LAZ,Dc,7,22,Titolare,0.9,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,34,0.5,0.6,5.94,86,8,17,29,40,33,Cautela,Titolare affidabile
D,Gabbia,MIL,Dc,7,23,Titolare,0.9,Storico Serie A,29,5.91,5.84,0,0,1.4,0.2,0,0,4,0,0,0,,33,1,0.1,5.93,87,11,18,15,42,36,Scommessa,Titolare affidabile
D,Idzes,SAS,Dc,7,1,Titolare,0.9,Storico Serie A,35,6.01,5.97,0,0,0.2,0.6,0,0,3,0,0,0,,34,0.1,0.3,5.98,91,2,12,10,38,32,Cautela,Titolare affidabile
D,Ismajli,TOR,Dc,7,18,Titolare in ballottaggio,0.72,Storico Serie A,24,5.96,5.94,0,2,0.3,0.3,0,0,5,0,0,0,,26,0.2,1,5.92,70,6,19,33,34,27,Cautela,Rotazione/copertura
D,Kaiki,COM,Ds;E,7,23,Titolare in ballottaggio,0.72,Nuovo/senza dati 25-26,0,0,0,0,0,,,0,0,0,0,0,0,,27,0.5,0.6,5.96,73,8,19,42,36,28,Cautela,Scommessa nuova
D,Kristensen T.,UDI,Dd;Dc,7,15,Riserva/rotazione,0.2,Storico Serie A,28,6.04,6.29,3,0,1,0.2,0,0,4,0,0,0,,7,0.5,0,6.18,33,5,22,69,22,12,Cautela,Profilo rischioso
D,Obert,CAG,B;Ds;E,7,14,Titolare,0.9,Storico Serie A,34,5.97,5.91,0,3,1.4,2.3,0,0,8,1,0,0,,34,0.8,2.6,5.97,90,18,26,14,48,42,Scommessa,Titolare affidabile
D,Romagnoli,LAZ,Dc,7,24,Titolare,0.9,Storico Serie A,32,6,5.89,0,0,1.5,,0,0,5,1,0,0,,33,0.9,0,5.97,89,10,17,14,42,36,Scommessa,Titolare affidabile
D,Tiago Gabriel,LEC,Dc,7,17,Titolare,0.9,Storico Serie A,36,6.03,6.04,2,0,3.6,0.1,0,0,7,0,0,0,,34,2.8,0.1,6.18,91,30,24,11,54,48,Buono,Titolare affidabile
D,Tomori,MIL,Dc,7,20,Riserva/rotazione,0.2,Storico Serie A,32,5.92,5.83,0,1,0.6,1,0,0,6,1,0,0,,7,0.1,0.2,5.87,36,2,19,67,20,11,Cautela,Profilo rischioso
D,Ahanor,ATA,B;Ds;E,6,16,Alternativa in ballottaggio,0.48,Storico Serie A,21,5.79,5.69,0,0,1.9,0.7,0,0,2,1,0,0,,17,0.8,0.4,5.86,50,10,22,52,34,22,Cautela,Profilo rischioso
D,Bella-Kotchap,VEN,Dc,6,13,Titolare,0.9,Storico Serie A,18,5.94,5.86,0,0,0.1,0.4,0,0,3,0,0,0,,32,0.2,0.4,5.89,79,4,14,23,40,30,Cautela,Rotazione/copertura
D,Bellanova,ATA,Dd;E,6,15,Alternativa in ballottaggio,0.48,Storico Serie A,22,5.75,5.75,0,1,0.5,2.3,0,0,2,0,0,0,,17,0.2,1.3,5.82,50,7,24,51,33,21,Cautela,Profilo rischioso
D,Bernasconi,ATA,Ds;E,6,17,Titolare in ballottaggio,0.72,Storico Serie A,22,6.11,6.18,0,3,0.4,3.5,0,0,3,0,0,0,,26,0.3,3.5,6.21,68,16,33,34,49,36,Scommessa,Rotazione/copertura
D,Beukema,NAP,Dc,6,16,Titolare in ballottaggio,0.72,Storico Serie A,22,5.89,6.11,2,0,1.7,0.5,0,0,2,0,0,0,,26,1.9,0.4,6.08,68,22,25,33,49,36,Scommessa,Rotazione/copertura
D,Circati,PAR,Dc,6,18,Titolare,0.9,Storico Serie A,31,5.98,5.98,1,0,1,0.5,0,0,6,0,0,0,,33,1.1,0.3,5.99,88,13,18,14,50,39,Scommessa,Titolare affidabile
D,Comuzzo,TOR,Dc,6,11,Titolare in ballottaggio,0.72,Storico Serie A,24,5.73,5.73,1,0,1,0.2,0,0,2,0,0,0,,26,1,0.1,5.81,70,11,17,31,41,30,Cautela,Rotazione/copertura
D,Gallo,LEC,Ds;E,6,13,Titolare,0.9,Storico Serie A,37,5.93,5.97,0,3,0.5,2.9,0,0,3,0,0,0,,34,0.3,2.7,6,92,13,24,9,54,42,Scommessa,Titolare affidabile
D,Heggem,BOL,Ds;Dc,6,15,Titolare,0.9,Storico Serie A,25,5.86,5.82,0,0,1.1,0.1,0,0,0,1,0,0,,32,0.8,0.1,5.9,84,9,16,17,46,35,Scommessa,Titolare affidabile
D,Kamara H.,UDI,Ds;E,6,12,Titolare,0.9,Storico Serie A,26,5.9,5.88,0,2,,,0,0,5,0,0,0,,33,0,2.5,5.88,85,9,22,17,48,37,Scommessa,Titolare affidabile
